label,trials,offset,keys,direction,response_time,statement,response_numeric
Block 3: Monocular_UC,58,0.2,['right'],right,0.7000371170006474,correct,1
Block 3: Monocular_UC,59,-0.10000000000000002,['left'],left,1.0120262689997617,correct,1
Block 4: Monocular_C,0,0.2,['left'],right,1.8169882969996252,false,0
Block 4: Monocular_C,1,0.25,['right'],right,1.3982448560000194,correct,1
Block 4: Monocular_C,2,-0.2,['right'],left,0.5587083179998444,false,0
Block 4: Monocular_C,3,-0.25,['right'],left,0.5729901089998748,false,0
Block 4: Monocular_C,4,0.25,['right'],right,0.4949678049997601,correct,1
Block 4: Monocular_C,5,-0.3,['left'],left,0.25512031099970045,correct,1
Block 4: Monocular_C,6,0.2,['right'],right,0.4787672370002838,correct,1
Block 4: Monocular_C,7,0.2,['left'],right,0.4226199800004906,false,0
Block 4: Monocular_C,8,-0.3,['right'],left,1.0711527729999943,false,0
Block 4: Monocular_C,9,0.25,['right'],right,0.4139853030001177,correct,1
Block 4: Monocular_C,10,0.25,['right'],right,0.5274182130006011,correct,1
Block 4: Monocular_C,11,-0.35,['right'],left,0.6616333590000067,false,0
Block 4: Monocular_C,12,0.2,['right'],right,0.7982438689996343,correct,1
Block 4: Monocular_C,13,0.2,['left'],right,0.4384362950004288,false,0
Block 4: Monocular_C,14,-0.39999999999999997,['right'],left,0.42170985099983227,false,0
Block 4: Monocular_C,15,0.25,['right'],right,0.6470699429992237,correct,1
Block 4: Monocular_C,16,0.25,['right'],right,0.58284150199961,correct,1
Block 4: Monocular_C,17,-0.44999999999999996,['left'],left,0.6128488800004561,correct,1
Block 4: Monocular_C,18,0.2,['right'],right,0.43079581199981476,correct,1
Block 4: Monocular_C,19,-0.44999999999999996,['right'],left,0.5260640329997841,false,0
Block 4: Monocular_C,20,0.2,['right'],right,0.28699933999996574,correct,1
Block 4: Monocular_C,21,0.15000000000000002,['left'],right,0.6611675189997186,false,0
Block 4: Monocular_C,22,-0.49999999999999994,['left'],left,0.3180331900002784,correct,1
Block 4: Monocular_C,23,0.2,['left'],right,0.5823703429996385,false,0
Block 4: Monocular_C,24,0.25,['left'],right,0.24664811399998143,false,0
Block 4: Monocular_C,25,-0.49999999999999994,['left'],left,0.6137706359995718,correct,1
Block 4: Monocular_C,26,0.3,['right'],right,0.5182924660002755,correct,1
Block 4: Monocular_C,27,0.3,['left'],right,0.23052734199973202,false,0
Block 4: Monocular_C,28,-0.44999999999999996,['left'],left,0.5180411210003513,correct,1
Block 4: Monocular_C,29,-0.44999999999999996,['left'],left,0.6217391509999288,correct,1
Block 4: Monocular_C,30,0.35,['left'],right,0.7339729340001213,false,0
Block 4: Monocular_C,31,-0.39999999999999997,['left'],left,0.24528515699967102,correct,1
Block 4: Monocular_C,32,0.39999999999999997,['right'],right,1.0147288399994068,correct,1
Block 4: Monocular_C,33,0.39999999999999997,['right'],right,1.069937485999617,correct,1
Block 4: Monocular_C,34,0.35,['left'],right,0.5823524730003555,false,0
Block 4: Monocular_C,35,0.39999999999999997,['left'],right,0.590154843000164,false,0
Block 4: Monocular_C,36,0.44999999999999996,['left'],right,0.373981709999498,false,0
Block 4: Monocular_C,37,0.49999999999999994,['left'],right,0.46225672400032636,false,0
Block 4: Monocular_C,38,-0.39999999999999997,['right'],left,0.7670779529998981,false,0
Block 4: Monocular_C,39,-0.44999999999999996,['right'],left,0.44607928700042976,false,0
Block 4: Monocular_C,40,0.5499999999999999,['right'],right,0.6706251890000203,correct,1
Block 4: Monocular_C,41,0.5499999999999999,['left'],right,0.34213175600052637,false,0
Block 4: Monocular_C,42,0.6,['left'],right,0.46310028199968656,false,0
Block 4: Monocular_C,43,0.65,['left'],right,0.3503653630004919,false,0
Block 4: Monocular_C,44,-0.49999999999999994,['right'],left,0.6781253130002369,false,0
Block 4: Monocular_C,45,-0.5499999999999999,['right'],left,0.2147320000003674,false,0
Block 4: Monocular_C,46,-0.6,['right'],left,0.9095640670002467,false,0
Block 4: Monocular_C,47,-0.65,['left'],left,0.6709783480000624,correct,1
Block 4: Monocular_C,48,0.7000000000000001,['left'],right,0.20627451300060784,false,0
Block 4: Monocular_C,49,0.7500000000000001,['right'],right,0.7268335770004342,correct,1
Block 4: Monocular_C,50,-0.65,['left'],left,0.7503734729998541,correct,1
Block 4: Monocular_C,51,0.7500000000000001,['left'],right,0.23853972500000964,false,0
Block 4: Monocular_C,52,0.8000000000000002,['right'],right,0.951178334999895,correct,1
Block 4: Monocular_C,53,-0.6,['right'],left,0.5742670019999423,false,0
Block 4: Monocular_C,54,0.8000000000000002,['left'],right,0.5492335010003444,false,0
Block 4: Monocular_C,55,0.8500000000000002,['left'],right,0.3820693420002499,false,0
Block 4: Monocular_C,56,0.9000000000000002,['right'],right,0.6385230269997919,correct,1
Block 4: Monocular_C,57,-0.65,['right'],left,0.26295013399976597,false,0
Block 4: Monocular_C,58,-0.7000000000000001,['right'],left,0.5334419070004515,false,0
Block 4: Monocular_C,59,0.9000000000000002,['right'],right,0.4367702959998496,correct,1
